"","texto","datahora","medio","Alcance","LIKES","rtas","cliks","comments","compartida","fecha","hora","datahoraposi","POSTID","datadate","FOTO","img_word","pro_spon","TEMA1","TEMA2","N_FOTOS","Grund"
"95","Helfen mit allem, was geht. #standwithU 🇺🇦","2022-03-17T02:55:17","Publicación de Facebook",469,0,NA,35,0,0,"2022-03-17","02:55:17",2022-03-17 02:55:17," mit allem",2022-03-17,NA,NA,NA,NA,NA,NA,NA
"96","Ich habe Gänsehaut 😔 und Scham,
was für ein starker Präsident 🇺🇦 der #Ukraine","2022-03-17T01:22:22","Publicación de Facebook",1594,64,NA,278,17,0,"2022-03-17","01:22:22",2022-03-17 01:22:22,"be Gänseha",2022-03-17,"aktivitäten","bild","spontan","Ukraine","besuch Präsident",1,"unterstutzung"
"97","⚡️ Strom, Gas, Benzin ⛽️ und auch Lebensmittel werden immer teurer. 📈 Das macht vielen Verbraucherinnen und Verbrauchern finanziell stark zu schaffen.
🤜 Wir setzen uns für faire und zielgenaue Entlastungen ein. Strom, Heizen und Mobilität dürfen kein Luxusgut sein! 🤛

#Weltverbrauchertag","2022-03-15T04:00:31","Publicación de Facebook",459,7,NA,10,8,0,"2022-03-15","04:00:31",2022-03-15 04:00:31,"om, Gas, B",2022-03-15,"Unterseiteworter","inzwischen","gebastelt","Energie","Preissteigerung",1,"meinung_teilen"
"98","Die Spritpreise steigen rasant. Viele Leute können diese Kosten nicht tragen. Eltern und Arbeitnehmer trifft das oft sehr hart. Auch einige Berufe sind schon in Gefahr. Finanzminister Lindner schlägt jetzt vor: Tankstellen programmieren Kassen neu, geben Rabatt, strecken das Geld vor. Staat erstattet später. 

Wir sagen: Das geht besser! Der CDU-Vorschlag senkt den Spritpreis direkt um mindestens 40 Cent je Liter. Die Regierung soll sich daran orientieren und allen helfen.","2022-03-14T22:06:24","Publicación de Facebook",1030,19,NA,97,28,0,"2022-03-14","22:06:24",2022-03-14 22:06:24,"ritpreise ",2022-03-14,"Infografik","worter","gebastelt","Energie","Preissteigerung",1,"böse"
"99","Die Energiepreise steigen und steigen und steigen. Jetzt ist die Zeit zu handeln!

Statt ein Bürokratiemonster #Tankrabatt zu schaffen, einfach unseren Vorschlag #Spritpreisbremse umsetzen, liebe Bundesregierung. Deshalb runter mit der Energiesteuer 🇪🇺 und runter mit der Mehrwertsteuer auf 7 Prozent. 

Damit sinkt der Spritpreis direkt um mindestens 40 Cent je Liter. Das hilft sofort, ist unbürokratisch und entlastet die Bürgerinnen und Bürgern. Denn am Ende zahlen wir alle den Preis - nicht nur an der Zapfsäule, sondern auch an der Supermarktkasse!","2022-03-14T11:12:31","Publicación de Facebook",1041,25,NA,78,31,0,"2022-03-14","11:12:31",2022-03-14 11:12:31,"ergiepreis",2022-03-14,"worter","worter","gebastelt","Energie","Preissteigerung",1,"böse"
"100","Die Energiepreise steigen und steigen und steigen. Jetzt ist die Zeit zu handeln!

Statt ein Bürokratiemonster #Tankrabatt zu schaffen, einfach unseren Vorschlag #Spritpreisbremse umsetzen, liebe Bundesregierung. Deshalb runter mit der Energiesteuer 🇪🇺 und runter mit der Mehrwertsteuer auf 7 Prozent. 

Damit sinkt der Spritpreis direkt um mindestens 40 Cent je Liter. Das hilft sofort, ist unbürokratisch und entlastet die Bürgerinnen und Bürgern. Denn am Ende zahlen wir alle den Preis - nicht nur an der Zapfsäule, sondern auch an der Supermarktkasse!","2022-03-14T11:12:31","Publicación de Facebook",1041,25,NA,78,31,0,"2022-03-14","11:12:31",2022-03-14 11:12:31,"ergiepreis",2022-03-14,"worter","worter","gebastelt","Energie","Preissteigerung",1,"böse"
"101","Die derzeitigen Sprit-& Ölpreise befinden sich auf Rekordniveau und belasten Unternehmen und Normalverdiener ganz enorm.

Es muss daher schnell eine Senkung der staatlichen Energieabgaben und Steuern auf Kraftstoffe und Heizöl geben, um zumindest den staatlichen Anteil abzufedern. Das muss die Bundesregierung sofort auf den Weg bringen.

Die Energiepolitik muss vor dem Hintergrund des Krieges in der #Ukraine neu bewertet werden. So halte ich den von der Bundesregierung diskutierten vorgezogenen Ausstieg aus der Braunkohle für falsch.
Die Formulierung ""idealerweise 2030"" hat sich bereits durch Fakten überholt. 
Politik muss das jetzt auch klar sagen, um den Energieunternehmen Planungssicherheit zu geben.

Aus meiner Sicht ist es so, dass #Verlässlichkeit & #Stabilität in Bezug auf den Kohlekompromiss genauso wichtig ist, wie Verlässlichkeit und Engagement in punkto Umbau der Energiewirtschaft hinsichtlich #Wasserstoff und regenerativer Energien.
Es braucht jetzt klare Aussagen von Bund und Freistaat, um die Versorgungssicherheit zu gewährleisten und auch die Bezahlbarkeit von Energie sicherzustellen.

Wir dürfen uns nicht in neue Abhängigkeiten von Energielieferungen aus dem Ausland begeben, sondern müssen durch Kohle und Ausbau von alternativen Energien unsere Energiesicherheit stabilisieren.","2022-03-11T12:00:19","Publicación de Facebook",733,6,NA,28,2,0,"2022-03-11","12:00:19",2022-03-11 12:00:19,"rzeitigen ",2022-03-11,"text","worter","gebastelt","Energie","Preissteigerung",1,"böse"
"102","Manch eine Familie muss derzeit viel, viel mehr für den vollen Heizöltank ausgeben. Auch die Spritpreise haben eine dramatischen Anstieg erfahren. Und der Staat verdient durch Energieumlagen und -steuern an jedem Liter Heizöl oder Diesel oder Benzin derzeit viel mehr als noch vor einem Jahr.

Insofern finde ich es fast schon zynisch dass und vor allem mit welcher Begründung die #Bundesregierung, der #Minister im Bundesministerium für Wirtschaft und Klimaschutz und der #Finanzminister dem Wunsch nach einer Entlastung eine Absage erteilt. Das sei „Solidarität mit der Ukraine“ und „jedermanns Beitrag“ … 🤔

NEIN, das geht so nicht!! 

#energie #Energiepreise #entlastung #preisbeemse #diesel #heizöl #benzin #cdu #cducsu CDU/CSU-Bundestagsfraktion CDU #larsrohwer","2022-03-10T22:04:43","Publicación de Facebook",2158,47,NA,234,66,8,"2022-03-10","22:04:43",2022-03-10 22:04:43,"eine Famil",2022-03-10,"politikerworter","inzwischen","gebastelt","Energie","Preissteigerung",1,"böse"
"103","Die #Energiepreise gehen durch die Decke. Dabei zahlen die Bürger den Preis, während sich beim Staat die Kassen füllen.
👎 Das geht so nicht!

Deshalb runter mit den Energiesteuern und weg mit der EEG-Umlage. Die #Bundesregierung muss endlich mehr tun, als sie vor Wochen angekündigt hat.

Bundesregierung Bundesministerium für Wirtschaft und Klimaschutz","2022-03-10T10:17:11","Publicación de Facebook",727,17,NA,22,3,1,"2022-03-10","10:17:11",2022-03-10 10:17:11,"nergieprei",2022-03-10,"Unterseiteworter","worter","gebastelt","Energie","Preissteigerung",1,"böse"
"104","#Kinder können am allerwenigsten für die aktuelle Situation 🇺🇦 Deshalb ist es gut, dass Sachsen.de hier hilft. 🍀
Sehr gut 👍 Christian Piwarz","2022-03-08T12:14:32","Publicación de Facebook",506,9,NA,14,0,0,"2022-03-08","12:14:32",2022-03-08 12:14:32,"r können a",2022-03-08,NA,NA,NA,NA,NA,NA,NA
"105","111. #Weltfrauentag 2022

Blumen 🌷 allein machen sicherlich noch keinen Unterschied. Doch ein Tag, an dem wir die Frauen feiern, erinnert zugleich an wichtige Errungenschaften für Frauen in der Vergangenheit und an alle Herausforderungen, die noch vor uns liegen. In meinem #Wahlkreis160 habe ich heute in #Radeberg meinen symbolischen Blumengruß 💐 an alle Frauen weitergegeben, die mir beim gemeinsamen Spaziergang mit Frau Katja #Mulansky (Kandidatin für das #Oberbürgermeisteramt ab 2022 für Radeberg, #Großerkmannsdorf, #Liegau-#Augustusbad und #Ullersdorf) in der Stadt begegneten.

🙏 Ein wunderbarer Termin
bei wunderbaren Sonnenschein ☀️
Ich danke meinen Begleiterinnen!","2022-03-08T07:48:14","Publicación de Facebook",766,26,NA,21,0,1,"2022-03-08","07:48:14",2022-03-08 07:48:14,"Weltfrauen",2022-03-08,"aktivitäten","bild","spontan","Menschenrecht","Frauentag",2,"Glückwunsch"
"106","Was ist schon ein Achtzigstel seines Lebens, wenn man es für die Gesellschaft aufbringt?

Die aktuelle Situation führt uns einmal mehr vor Augen, warum wir ein #Gesellschaftsjahr für #Deutschland 🇩🇪 brauchen. Bedarf gibt es genug: im #Rettungsdienst ⛑️, in der #Bundeswehr 🪖, beim #THW, beim #DRK 🚑 den #Johannitern 🚨 #Maltesern oder #ASB. Oder bei der #Feuerwehr 👩🏼‍🚒 in der #Jugendarbeit, in sozialen und Pflegeeinrichtungen 👩🏻‍⚕️ oder auch im ökologischen Bereich - beispielweise auf Bauernhöfen 👨🏻‍🌾. Ein Jahr Dienst an der Gesellschaft wäre ein echter Mehrwert für alle Menschen, egal ob jung oder alt, egal ob Mann 💁🏻‍♂️ oder Frau 👩🏻 ! 

Und es wäre ein wichtiger Beitrag für den sozialen Frieden und gesellschaftlichen Zusammenhalt in Deutschland. Ich unterstütze die Forderung der CDU aus 2018 nach einem verpflichtenden Gesellschaftsjahr für jeden, Frau und Mann! 👱🏼‍♀️🧑🏻

🙋🏻‍♂️ Was denkt ihr? 🗣

#Verantwortungtragen #zumGelingenbeitragen","2022-03-06T22:16:02","Publicación de Facebook",707,7,NA,38,7,0,"2022-03-06","22:16:02",2022-03-06 22:16:02,"t schon ei",2022-03-06,"menschen","bild","profesional","Gesellschaft",NA,1,"danke"
"107","Starke Hilfsaktion für die Ukraine 🇺🇦 von EuroMaidan-Sachsen. Super 🙌 gut 😌 
Danke 🙏 Arnold #Vaatz war auch mit. 👍","2022-03-05T23:02:03","Publicación de Facebook",1053,22,NA,67,1,0,"2022-03-05","23:02:03",2022-03-05 23:02:03," Hilfsakti",2022-03-05,NA,NA,NA,NA,NA,NA,NA
"108","Der Krieg in der #Ukraine 🇺🇦 bestimmt seit knapp einer Woche die Nachrichtenlage. Viele von uns informieren sich auch über Social Media über die aktuellen Ereignisse. Doch längst nicht alle Informationen, Bilder und Videos, die dort gepostet werden, sind authentisch. Von #Russland aus werden gezielt #Falschinformationen gestreut. 

Wir haben ein paar Tipps zusammengestellt, wie man seriöse Berichterstattung von Fakenews unterscheiden kann. Außerdem geht es darum, was man tun kann, wenn einem die ganzen Informationen und Bilder zu viel werden und wo man konkret helfen kann.","2022-03-02T04:00:21","Publicación de Facebook",495,2,NA,56,0,0,"2022-03-02","04:00:21",2022-03-02 04:00:21,"ieg in der",2022-03-02,NA,NA,NA,NA,NA,NA,NA
